N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
93,NH투자증권,"10,410",10,+0.10%,"5,000","34,526","331,666",14.54,"748,612",9.47,4.32,
94,강원랜드,"16,070",90,-0.56%,500,"34,380","213,940",15.79,"1,246,159",15.42,3.47,
95,삼성카드,"28,950",200,-0.69%,"5,000","33,541","115,859",6.14,"81,341",5.53,8.08,
96,삼성증권,"36,750",150,-0.41%,"5,000","32,818","89,300",33.24,"159,327",6.27,6.88,
97,현대로템,"29,650",350,-1.17%,"5,000","32,361","109,142",11.30,"1,421,094",15.99,14.06,
98,LS ELECTRIC,"102,200","2,700",+2.71%,"5,000","30,660","30,000",12.74,"630,777",28.52,5.95,
99,한진칼,"45,400",900,+2.02%,"2,500","30,310","66,762",16.72,"86,311",4.82,33.64,
100,코웨이,"40,800",100,-0.24%,500,"30,110","73,800",60.68,"205,835",6.71,21.72,
101,BGF리테일,"171,600","1,300",+0.76%,"1,000","29,659","17,284",34.49,"27,146",15.19,21.85,
102,호텔신라,"74,500",600,-0.80%,"5,000","29,240","39,248",18.01,"152,342",277.99,-8.99,
103,한국금융지주,"52,300",400,-0.76%,"5,000","29,145","55,726",39.27,"136,713",5.10,8.45,
104,씨에스윈드,"68,900","1,000",-1.43%,500,"29,056","42,171",13.35,"465,635",242.61,-0.11,
105,KODEX 종합채권(AA-이상)액티브,"105,160",335,+0.32%,0,"28,675","27,268",0.02,"26,492",N/A,N/A,
106,LG화학우,"367,000","5,000",+1.38%,"5,000","28,218","7,689",58.68,"39,485",17.61,N/A,
107,TIGER 차이나전기차SOLACTIVE,"10,290",0,0.00%,0,"27,836","270,520",0.86,"2,705,375",N/A,N/A,
108,한화시스템,"14,720",180,-1.21%,"5,000","27,809","188,919",4.92,"495,714",28.31,-3.63,
109,현대해상,"31,100",700,+2.30%,500,"27,803","89,400",39.14,"626,026",4.26,12.44,
110,HD현대일렉트릭,"76,200","3,600",+4.96%,"5,000","27,468","36,047",16.82,"409,881",14.88,22.13,
111,키움증권,"103,200",900,-0.86%,"5,000","27,066","26,227",26.10,"42,136",4.56,11.50,
112,쌍용C&E,"5,370",20,+0.37%,100,"27,057","503,860",2.43,"373,633",23.05,7.87,
113,롯데지주,"25,650",200,-0.77%,200,"26,909","104,909",7.24,"130,162",22.46,2.42,
114,한전기술,"70,300","2,400",-3.30%,200,"26,869","38,220",4.45,"251,595",94.36,3.40,
115,영원무역,"59,600","2,900",-4.64%,500,"26,410","44,311",29.68,"88,304",3.72,26.80,
116,팬오션,"4,785",25,-0.52%,"1,000","25,579","534,570",15.19,"1,171,971",4.08,16.74,
117,농심,"420,000","6,500",-1.52%,"5,000","25,547","6,083",17.84,"21,176",18.58,5.17,
118,현대차우,"103,400",700,-0.67%,"5,000","24,933","24,113",61.06,"20,800",3.14,N/A,
119,TIGER 200,"33,860",305,-0.89%,0,"24,870","73,450",5.41,"529,319",N/A,N/A,
120,DB하이텍,"54,900","2,100",-3.68%,"5,000","24,375","44,399",17.44,"528,265",5.13,40.73,
121,아모레G,"29,500",450,-1.50%,500,"24,325","82,458",10.64,"188,578",44.43,1.87,
122,TIGER 미국나스닥100,"90,110",690,+0.77%,0,"24,321","26,990",0.04,"138,052",N/A,N/A,
123,휠라홀딩스,"40,000",200,-0.50%,"1,000","24,301","60,752",43.60,"226,180",7.37,19.71,
124,한국가스공사,"25,850",500,+1.97%,"5,000","23,863","92,313",5.10,"298,935",2.67,15.67,
125,GS리테일,"22,750",600,+2.71%,"1,000","23,823","104,718",7.95,"1,588,690",50.00,1.00,
126,영풍제지,"50,600","1,100",+2.22%,500,"23,520","46,482",3.93,"3,311,655",421.67,5.91,
127,롯데에너지머티리얼즈,"50,900","1,000",-1.93%,500,"23,470","46,111",7.86,"320,261",-221.30,3.58,
128,한미사이언스,"33,300",400,-1.19%,500,"23,296","69,957",2.23,"94,994",29.50,9.78,
129,이마트,"80,000",700,+0.88%,"5,000","22,301","27,876",29.05,"218,311",9.72,9.59,
130,제일기획,"19,300",70,+0.36%,200,"22,203","115,041",26.44,"448,721",11.78,16.64,
131,BNK금융지주,"6,770",20,+0.30%,"5,000","22,066","325,935",34.09,"701,155",2.79,8.43,
132,한화,"29,350",50,+0.17%,"5,000","22,000","74,959",18.03,"197,762",1.73,24.47,
133,HD현대인프라코어,"10,880",20,+0.18%,"1,000","21,717","199,603",18.84,"1,888,112",8.03,15.29,
134,한화생명,"2,490",5,+0.20%,"5,000","21,626","868,530",8.35,"1,570,625",1.94,9.05,
135,에스원,"56,700",100,+0.18%,500,"21,546","37,999",53.95,"56,150",13.72,10.19,
136,한솔케미칼,"187,800",500,-0.27%,"5,000","21,287","11,335",37.30,"37,539",14.96,21.36,
137,효성첨단소재,"462,000","7,000",+1.54%,"5,000","20,697","4,480",6.35,"35,293",20.23,19.11,
138,롯데쇼핑,"72,700","1,400",-1.89%,"5,000","20,566","28,289",9.29,"36,661",-6.49,-3.30,
139,KODEX 23-12 은행채(AA+이상)액티브,"10,370",0,0.00%,0,"20,344","196,180",0.01,"24,334",N/A,N/A,
140,이수페타시스,"31,800","1,050",+3.41%,"1,000","20,112","63,246",7.47,"6,282,041",19.33,58.92,
